MARKETGROUPID,PARENTGROUPID,MARKETGROUPNAME,ICONID,HASTYPES
2,,Blueprints,2703,0
4,,Ships,1443,0
5,1361,Standard Frigates,1443,0
6,1367,Standard Cruisers,1443,0
7,1376,Standard Battleships,1443,0
8,1382,Standard Industrial Ships,1443,0
9,,Ship Equipment,1432,0
10,9,Turrets & Bays,365,0
11,,Ammunition & Charges,1299,0
14,9,Hull & Armor ,68,0
19,,Trade Goods,2340,0
20,19,Industrial Goods,1192,1
22,19,Radioactive Goods,29,1
23,19,Passengers,2543,1
24,,Implants & Boosters,2563,0
27,24,Implants,2062,0
52,9,Propulsion ,72,0
54,1031,Ore,1277,0
61,5,Caldari,20966,1
64,5,Minmatar,20968,1
65,1035,Advanced Components,2199,0
72,5,Amarr,20959,1
73,6,Minmatar,20968,1
74,6,Amarr,20959,1
75,6,Caldari,20966,1
76,6,Gallente,20967,1
77,5,Gallente,20967,1
78,7,Minmatar,20968,1
79,7,Amarr,20959,1
80,7,Caldari,20966,1
81,7,Gallente,20967,1
82,8,Minmatar,20968,1
83,8,Gallente,20967,1
84,8,Caldari,20966,1
85,8,Amarr,20959,1
86,10,Hybrid Turrets,376,0
87,10,Projectile Turrets,387,0
88,10,Laser Turrets,352,0
99,11,Projectile Ammo,1004,0
100,11,Hybrid Charges,1047,0
101,11,Frequency Crystals,1131,0
102,851,Small,1142,1
103,851,Medium,1142,1
105,851,Large,1142,1
106,848,Large,1047,1
107,848,Small,1047,1
108,848,Medium,1047,1
109,845,Large,1004,1
112,845,Medium,1004,1
113,845,Small,1004,1
114,11,Missiles,1334,0
115,114,Auto-Targeting,1335,0
116,114,Defender,192,1
117,114,Light Missiles,192,0
118,114,Rockets,1352,0
120,11,Probes,1723,0
126,554,Shield Rechargers,83,1
128,554,Remote Shield Boosters,86,0
131,52,Microwarpdrives,10149,1
132,52,Propulsion Upgrades,97,0
133,14,Armor Plates,79,0
134,14,Armor Repairers,80,0
135,14,Hull Upgrades,92,0
139,11,Cap Booster Charges,1033,1
140,10,Missile Launchers,168,0
141,9,Smartbombs,112,0
143,10,Weapon Upgrades,2531,0
150,,Skills,33,0
157,,Drones,1084,0
158,157,Mining Drones,1084,1
159,157,Combat Drones,1084,0
204,2,Ships,2703,0
205,204,Frigates,2703,0
206,204,Cruisers,2703,0
207,204,Battleships,2703,0
208,204,Industrial Ships,2703,0
209,2,Ship Equipment,2703,0
210,209,Turrets & Bays,2703,0
211,2,Ammunition & Charges,2703,0
214,209,Hull & Armor ,2703,0
252,209,Propulsion ,2703,0
261,205,Caldari,2703,1
264,205,Minmatar,2703,1
272,205,Amarr,2703,1
273,206,Minmatar,2703,1
274,206,Amarr,2703,1
275,206,Caldari,2703,1
276,206,Gallente,2703,1
277,205,Gallente,2703,1
278,207,Minmatar,2703,1
279,207,Amarr,2703,1
280,207,Caldari,2703,1
281,207,Gallente,2703,1
282,208,Minmatar,2703,1
283,208,Gallente,2703,1
284,208,Caldari,2703,1
285,208,Amarr,2703,1
286,210,Hybrid Turrets,2703,0
287,210,Projectile Turrets,2703,0
288,210,Laser Turrets,2703,0
289,286,Large,2703,1
290,286,Medium,2703,1
291,286,Small,2703,1
292,288,Small,2703,1
293,288,Medium,2703,1
295,288,Large,2703,1
296,287,Small,2703,1
297,287,Medium,2703,1
298,287,Large,2703,1
299,211,Projectile Ammo,2703,0
300,211,Hybrid Charges,2703,0
301,211,Frequency Crystals,2703,0
302,301,Small,2703,1
303,301,Medium,2703,1
305,301,Large,2703,1
306,300,Large,2703,1
307,300,Small,2703,1
308,300,Medium,2703,1
309,299,Large,2703,1
312,299,Medium,2703,1
313,299,Small,2703,1
314,211,Missiles,2703,0
315,314,Auto-Targeting,2703,1
316,314,Defender,2703,1
318,314,Rockets,2703,1
320,1520,Scan Probes,2703,1
325,1710,Scanners,2703,1
331,252,Microwarpdrives,2703,1
332,252,Propulsion Upgrades,2703,1
335,214,Hull Upgrades,2703,1
338,1711,Mining Lasers,2703,1
339,211,Cap Booster Charges,2703,1
340,210,Missile Launchers,2703,1
341,209,Smartbombs,2703,1
343,210,Weapon Upgrades,2703,1
357,2,Drones,2703,0
358,357,Mining Drones,2703,1
359,1530,Heavy Attack Drones,2703,1
364,150,Gunnery,33,1
365,150,Corporation Management,33,1
366,150,Drones,33,1
367,150,Electronic Systems,33,1
368,150,Engineering,33,1
369,150,Production,33,1
370,150,Leadership,33,1
372,150,Rigging,33,1
373,150,Missiles,33,1
374,150,Navigation,33,1
375,150,Science,33,1
376,150,Social,33,1
377,150,Spaceship Command,33,1
378,150,Trade,33,1
379,404,Cargo Containers,16,0
380,141,Micro,112,1
381,141,Large,112,1
382,141,Small,112,1
383,141,Medium,112,1
387,114,Torpedoes,1349,0
390,314,Torpedoes,2703,1
391,4,Shuttles,1443,0
393,391,Amarr,20959,1
394,391,Minmatar,20968,1
395,391,Gallente,20967,1
396,391,Caldari,20966,1
399,1364,Interceptors,1443,0
400,399,Amarr,20959,1
401,399,Caldari,20966,1
402,399,Gallente,20967,1
403,399,Minmatar,20968,1
404,477,Deployable Structures,16,0
405,404,Warp Disruption Fields ,16,1
406,1338,Deployable Structures,2703,0
407,406,Warp Disruption Fields,2703,1
408,204,Interceptors,2703,0
410,408,Amarr,2703,1
411,408,Caldari,2703,1
412,408,Gallente,2703,1
413,408,Minmatar,2703,1
414,204,Shuttles,2703,0
415,414,Amarr,2703,1
416,414,Caldari,2703,1
417,414,Gallente,2703,1
418,414,Minmatar,2703,1
419,204,Covert Ops,2703,0
420,1364,Covert Ops,1443,0
421,420,Amarr,20959,1
422,420,Caldari,20966,1
423,420,Gallente,20967,1
424,420,Minmatar,20968,1
425,419,Amarr,2703,1
427,419,Caldari,2703,1
428,419,Gallente,2703,1
429,419,Minmatar,2703,1
430,1578,Cloaking Devices,2703,1
432,1364,Assault Frigates,1443,0
433,432,Amarr,20959,1
434,432,Caldari,20966,1
435,432,Gallente,20967,1
436,432,Minmatar,20968,1
437,1368,Logistics,1443,0
438,437,Amarr,20959,1
439,437,Caldari,20966,1
440,437,Gallente,20967,1
441,437,Minmatar,20968,1
442,204,Logistics,2703,0
443,442,Amarr,2703,1
444,442,Caldari,2703,1
445,442,Gallente,2703,1
446,442,Minmatar,2703,1
