TYPEID,GROUPID,TYPENAME,MASS,VOLUME,CAPACITY,PORTIONSIZE,RACEID,BASEPRICE,PUBLISHED,MARKETGROUPID,CHANCEOFDUPLICATING
0,0,#System,0,0,0,1,,0,0,,0
2,2,Corporation,0,0,0,1,,0,0,,0
3,3,Region,0,1,0,1,,0,0,,0
4,4,Constellation,0,1,0,1,,0,0,,0
5,5,Solar System,0,1,0,1,,0,0,,0
6,6,Sun G5 (Yellow),1E+35,1,0,1,,0,0,,0
7,6,Sun K7 (Orange),1E+35,1,0,1,,0,0,,0
8,6,Sun K5 (Red Giant),1E+35,1,0,1,,0,0,,0
9,6,Sun B0 (Blue),1E+35,1,0,1,,0,0,,0
10,6,Sun F0 (White),1E+35,1,0,1,,0,0,,0
11,7,Planet (Temperate),1E+35,1,0,1,,0,0,,0
12,7,Planet (Ice),1E+35,1,0,1,,0,0,,0
13,7,Planet (Gas),1E+35,1,0,1,,0,0,,0
14,8,Moon,1E+35,1,0,1,,0,0,,0
15,9,Asteroid Belt,1E+35,1,0,1,,0,0,,0
16,10,Stargate (Caldari System),1E+11,10000000,0,1,1,0,0,,0
17,10,Stargate (Amarr Constellation),1E+11,100000000,0,1,4,0,0,,0
18,458,Plagioclase,1E+35,0.35,0,100,,5342,1,516,0
19,461,Spodumain,1E+35,16,0,100,,757194,1,517,0
20,457,Kernite,1E+35,1.2,0,100,,25964,1,523,0
21,454,Hedbergite,1E+35,3,0,100,,94344,1,527,0
22,450,Arkonor,1E+35,16,0,100,,2174386,1,512,0
23,12,Cargo Container,10000,27500,27500,1,,0,0,,0
24,13,Ring,1E+35,1,0,1,,0,0,,0
25,14,Corpse,80,2,0,1,,0,1,,0
26,16,Office Folder,0,1,0,1,,0,0,,0
27,16,Office,0,1,0,1,,0,0,,0
28,16,Factory Folder,0,1,0,1,,0,0,,0
29,17,Credits,0,0,0,57344,,57344,0,,0
30,19,Faction,0,0,0,1,,0,0,,0
34,18,Tritanium,0,0.01,0,1,,2,1,1857,0
35,18,Pyerite,0,0.01,0,1,,8,1,1857,0
36,18,Mexallon,0,0.01,0,1,,32,1,1857,0
37,18,Isogen,0,0.01,0,1,,128,1,1857,0
38,18,Nocxium,0,0.01,0,1,,512,1,1857,0
39,18,Zydrine,0,0.01,0,1,,2048,1,1857,0
40,18,Megacyte,0,0.01,0,1,,8192,1,1857,0
41,280,Garbage,2500,0.25,0,1,,20,1,20,0
42,280,Spiced Wine,500,0.5,0,1,,1500,1,492,0
43,280,Antibiotics,5,0.2,0,1,,325,1,492,0
44,1034,Enriched Uranium,0,1.5,0,1,,5000,1,1335,0
45,281,Frozen Plant Seeds,400,0.5,0,1,,75,1,492,0
49,24,Player Kill,0,0,0,1,,0,0,,0
50,24,Company Shares,0,0,0,1,,0,0,,0
51,24,Bookmark,0,0,0,1,,0,0,,0
52,94,Trading,0,0,0,1,,0,0,,0
53,95,Trade Session,0,0,0,1,,0,0,,0
54,15,Caldari Logistics Station,0,1,0,1,1,0,0,,0
56,15,Gallente Military Station,0,1,0,1,8,0,0,,0
57,15,Gallente Station Hub ,0,1,0,1,8,0,0,,0
58,15,C-O-1,0,1,0,1,1,0,0,,0
59,15,C-O-2,0,1,0,1,1,0,0,,0
164,23,Clone Grade Alpha,0,1,0,1,,0,0,,0
165,23,Clone Grade Beta,0,1,0,1,,28000,0,,0
166,23,Clone Grade Gamma,0,1,0,1,,45500,0,,0
178,83,Carbonized Lead S,0.01,0.0025,0,100,,222,1,113,0.07
179,83,Nuclear S,0.01,0.0025,0,100,,332,1,113,0.07
180,83,Proton S,0.01,0.0025,0,100,,428,1,113,0.07
181,83,Depleted Uranium S,0.01,0.0025,0,100,,524,1,113,0.07
182,83,Titanium Sabot S,0.01,0.0025,0,100,,660,1,113,0.07
183,83,Fusion S,0.01,0.0025,0,100,,732,1,113,0.07
184,83,Phased Plasma S,0.01,0.0025,0,100,,848,1,113,0.07
